"ContractLocation","VendorFolder","Filename","FilePath","Extension","FileCreatedDate","DocType","HasSignedKeyword","SigningStatus","IsAmendment","AmendmentNumber","VersionLabel","DateInFilename","CounterpartyName","EffectiveDate","ExpirationDate","Notes"
"01 Active Contracts","Hunter-Douglas","Hunter Douglas NON-DISCLOSURE AGREEMENT - Signed.pdf","Hunter-Douglas/Hunter Douglas NON-DISCLOSURE AGREEMENT - Signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","Hunter-Douglas","2026-01-14","",""
"01 Active Contracts","Huron","Huron DCS Vendor MNDA_signed 04.23.26.pdf","Huron/Huron DCS Vendor MNDA_signed 04.23.26.pdf",".pdf","2026-04-23","MNDA","True","Signed","False","","","04.23.26","Huron","2026-04-23","",""
"01 Active Contracts","ID Tech- Panther","Mutual NDA- ID Tech - signed.pdf","ID Tech- Panther/Mutual NDA- ID Tech - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","ID Tech- Panther","2026-01-14","",""
"01 Active Contracts","iHerb","Form NDA -- iHerb 081518 (Fully Executed).pdf","iHerb/Form NDA -- iHerb 081518 (Fully Executed).pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","iHerb","2026-01-14","",""
"01 Active Contracts","IMI People","IMI NDA 2022(executed).pdf","IMI People/IMI NDA 2022(executed).pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","IMI People","2026-01-14","",""
"01 Active Contracts","Independent Machine Works LLC","DCS Vendor Mutual NDA to Independent Machine Works LLC - signed 3.13.2025.pdf","Independent Machine Works LLC/DCS Vendor Mutual NDA to Independent Machine Works LLC - signed 3.13.2025.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","3.13.2025","Independent Machine Works LLC","2026-01-14","",""
"01 Active Contracts","Indiana Industrial","Mutual NDA Indiana Industrial Services - signed.pdf","Indiana Industrial/Mutual NDA Indiana Industrial Services - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","Indiana Industrial","2026-01-14","",""
"01 Active Contracts","Industrial Controls Electric (ICE)","Mutual NDA- ICE - signed.pdf","Industrial Controls Electric (ICE)/Mutual NDA- ICE - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","Industrial Controls Electric (ICE)","2026-01-14","",""
"01 Active Contracts","Ingram Book Group LLC","Designed Conveyor Systems, LLC - Mutual NDA (1.27.25).pdf","Ingram Book Group LLC/Designed Conveyor Systems, LLC - Mutual NDA (1.27.25).pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","1.27.25","Ingram Book Group LLC","2026-01-14","",""
"01 Active Contracts","Interlake Mecalux","Interlake Mecalux - signed.pdf","Interlake Mecalux/Interlake Mecalux - signed.pdf",".pdf","2026-05-16","Other","True","Signed","False","","","","Interlake Mecalux","2026-05-16","",""
"01 Active Contracts","Interroll","DCS  Interroll MNDA - 3.18.2022 - signed.pdf","Interroll/DCS  Interroll MNDA - 3.18.2022 - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","3.18.2022","Interroll","2026-01-14","",""
"01 Active Contracts","Intralox","Intralox Master Purchase Agreement with DCS (for Ilox as sub-integrator; all end-users)(Final signed by DCS 4-3-19).pdf","Intralox/Intralox Master Purchase Agreement with DCS (for Ilox as sub-integrator; all end-users)(Final signed by DCS 4-3-19).pdf",".pdf","2026-01-14","Other","True","Signed","False","","Final","","Intralox","2026-01-14","",""
"01 Active Contracts","Intralox","Mutual NDA_Intralox-DCS - signed.pdf","Intralox/Mutual NDA_Intralox-DCS - signed.pdf",".pdf","2026-03-06","MNDA","True","Signed","False","","","","Intralox","2026-03-06","",""
"01 Active Contracts","ISI","Precision Tools Service, Inc Mutual NDA - signed.pdf","ISI/Precision Tools Service, Inc Mutual NDA - signed.pdf",".pdf","2026-05-15","MNDA","True","Signed","False","","","","ISI","2026-05-15","",""
"01 Active Contracts","J&J Services","Mutual NDA- J&J Services - signed.pdf","J&J Services/Mutual NDA- J&J Services - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","J&J Services","2026-01-14","",""
"01 Active Contracts","JBT Automation","Mutual NDA- JBT Corp - signed.pdf","JBT Automation/Mutual NDA- JBT Corp - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","JBT Automation","2026-01-14","",""
"01 Active Contracts","JDM Installers","Mutual NDA- JDM - signed.pdf","JDM Installers/Mutual NDA- JDM - signed.pdf",".pdf","2026-01-14","MNDA","True","Signed","False","","","","JDM Installers","2026-01-14","",""
"01 Active Contracts","Johnson","Johnson DCS Vendor MNDA 01.21.26 - signed.pdf","Johnson/Johnson DCS Vendor MNDA 01.21.26 - signed.pdf",".pdf","2026-05-16","MNDA","True","Signed","False","","","01.21.26","Johnson","2026-05-16","",""
"01 Active Contracts","Johnson","Johnson DCS Vendor MNDA 01.21.26 - unsigned.pdf","Johnson/Johnson DCS Vendor MNDA 01.21.26 - unsigned.pdf",".pdf","2026-05-16","MNDA","True","Signed","False","","","01.21.26","Johnson","2026-05-16","",""
